"","time","depth","forecast_issue_time","data_assimilation","ForecastProject_id","Forecast_id","Statistic","species_1","species_2"
"80",2009-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",5.85274934232186,6.25510047322175
"81",2009-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",5.94456028926631,7.9716625348587
"82",2010-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.53271717010947,17.7322153118334
"83",2010-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",7.41367176736301,15.2737678652019
"84",2010-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.63784344562529,20.1394389331378
"85",2010-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.3228450452868,20.765895356731
"86",2010-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",7.16531912644139,18.0012273980392
"87",2010-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.51734661323279,22.7326408612506
"88",2010-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.48149231912755,18.8061254839304
"89",2010-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",7.41499568991756,17.4893786274571
"90",2010-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.54053054551979,20.2129000163399
"91",2011-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.72390624159468,17.1103629108321
"92",2011-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.33249705502502,12.9609616101439
"93",2011-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.12175347536449,20.8047455226945
"94",2011-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.23843063168631,10.8563135680492
"95",2011-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",5.93197175484087,6.066517003402
"96",2011-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",6.66836882624713,17.2014526832647
"97",2011-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.55549985621906,15.6392025744327
"98",2011-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.34545279351377,12.8012341919944
"99",2011-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",6.75557667293739,18.1204977358845
"100",2012-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.58999180308703,17.5619266662766
"101",2012-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.21090468825796,11.5243197755177
"102",2012-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.00620774112794,22.765529365273
"103",2012-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.20081630981347,18.9240723650433
"104",2012-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.6054098951908,16.9066716666653
"105",2012-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.64366271236812,21.251515697367
"106",2012-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.75231710907888,20.4464229274577
"107",2012-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.50512679186226,17.7003127387101
"108",2012-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.03997450727714,22.885526090714
